416	0
0	373
532	0
0	460
566	0
0	399
242	0
0	338
346	0
0	335
440	0
0	493
408	0
0	476
488	0
0	465
392	0
0	395
440	0
0	224
418	0
0	488
428	0
0	507
413	0
0	370
397	0
0	375
442	0
0	342
380	0
0	391
429	0
0	427
376	0
0	235
425	0
0	381
430	0
0	441
409	0
0	435
480	0
0	276
401	0
0	505
427	0
0	330
469	0
0	408
559	0
0	299
340	0
0	493
285	0
0	530
382	0
0	502
315	0
0	445
461	0
0	516
384	0
0	410
468	0
0	489
419	0
0	517
421	0
0	500
465	0
0	490
476	0
0	587
420	0
0	411
476	0
0	349
442	0
0	545
411	0
0	363
296	0
0	395
381	0
0	436
437	0
0	581
423	0
0	321
328	0
0	711
389	0
0	545
431	0
0	474
359	0
0	472
439	0
0	603
344	0
0	484
478	0
0	444
472	0
0	455
457	0
0	523
513	0
0	415
539	0
0	353
458	0
0	554
407	0
0	368
391	0
0	452
487	0
0	486
410	0
0	568
326	0
0	446
389	0
0	569
429	0
0	482
398	0
0	608
375	0
0	513
435	0
0	355
513	0
0	480
281	0
0	697
439	0
0	545
508	0
0	492
452	0
0	343
360	0
0	530
472	0
0	415
458	0
0	475
526	0
0	304
482	0
0	307
407	0
0	432
469	0
0	470
437	0
0	318
478	0
0	307
621	0
0	529
440	0
0	469
458	0
0	365
401	0
0	261
519	0
0	409
489	0
0	318
404	0
0	286
489	0
0	490
460	0
0	517
372	0
0	285
305	0
0	500
382	0
0	333
406	0
0	413
313	0
0	371
455	0
0	349
353	0
0	459
411	0
0	561
471	0
0	382
377	0
0	401
510	0
0	426
520	0
0	236
411	0
0	565
390	0
0	349
423	0
0	320
520	0
0	692
490	0
0	386
438	0
0	597
454	0
0	461
191	0
0	280
461	0
0	412
518	0
0	405
415	0
0	467
480	0
0	597
419	0
0	278
506	0
0	282
477	0
0	501
491	0
0	496
295	0
0	425
400	0
0	457
431	0
0	302
406	0
0	296
448	0
0	470
521	0
0	504
331	0
0	328
306	0
0	383
383	0
0	348
471	0
0	460
480	0
0	360
0	787
362	0
0	417
468	0
0	534
513	0
0	544
374	0
0	484
440	0
0	261
475	0
0	467
477	0
0	517
551	0
0	396
331	0
0	625
625	0
0	508
419	0
0	787
418	0
0	418
410	0
0	402
235	0
0	617
634	0
0	397
412	0
0	325
480	0
0	438
389	0
0	299
576	0
0	387
